Gene	NumSamplesWMutation	_01-32942_A2	_02-0634	_03-28591_A1	_04-32876_A1	_05-25054_A1	_05-34912_A1	_05-35099_A1	_S05-10980_A1	_S05-1345_A1	_S06-33729_A1	_S06-35593_A1	_S07-10490_A1	_S07-27732_A1	_S07-3928_B1	_S07-8988_A3	_S08-7409_A1	_S09-19670_C1	_S09-39805_A1	_S1-34360_A3	_S3-29623_A1
RGPD4	2	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
LEF1	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
PTPRT	2	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.
AK9	2	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
ZNF735	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
ZMYM2	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.
CTTN	2	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.
EEF1A1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.
EGFR	2	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
NGFR	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 
MAGEA1	2	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PPFIA4	2	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
CDK12	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
DNM2	2	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CLIP1	2	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
"C7orf55-LUC7L2,LUC7L2"	2	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.
POTEE	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
AJUBA	2	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	1:: nonsense: 1; 	.	.	.	.
RPTOR	2	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
ZNF300	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
"RGPD5,RGPD8"	2	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
HGF	2	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: nonsense: 1; 	.	.	.
SASH1	2	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.
CBFA2T3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	2:: missense: 2; 	.	.	.	.
DCAF5	2	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.
SLC1A3	2	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
COL11A1	2	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
AHCTF1	2	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
ARIH1	2	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
USP28	2	.	.	.	.	.	1:: missense: 1; 	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
CYP3A5	2	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.
ADAMTS2	2	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
NFE2L3	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
NFE2L2	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
ZFHX4	2	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.
CDH1	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.
RELB	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: unknown: 1; 	1:: unknown: 1; 	.	.	.	.
POTEH	2	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
PEX11B	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
TPR	2	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
CYP2C18	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
PRF1	2	.	1:: missense: 1; 	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
CYLD	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.
COPS6	2	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.
MIB1	2	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
IKZF1	2	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.
IKZF3	2	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.
NLK	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.
UHRF1BP1L	2	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
IRF2	2	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
NLRP3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.
ZNF90	2	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
PDGFRA	2	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.
AMPD1	2	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
ATR	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
TXNIP	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
MECOM	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
S1PR2	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
TPM3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.
FANCB	2	.	.	.	.	.	.	.	2:: nonsense: 1; frameshift indel: 1; 	.	.	.	.	1:: splice-site: 1; 	.	.	.	.	.	.	.
FANCL	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
RANBP2	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.
ARID5B	2	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: nonsense: 1; 	.
TGFBR2	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
RALGDS	2	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.
TET1	2	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
HIF1A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.
NUTM1	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
TJP2	2	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.
DOT1L	2	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
ARNT	2	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
ALDH2	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
RAD50	2	.	1:: missense: 1; 	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.	.	.	.	.	.	.	.	.
HOXA9	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.
KTN1	2	1:: splice-site: 1; 	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CFHR3	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
SF3B1	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.
EZH2	2	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
SOX2	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
SMARCA2	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.
SMARCA4	2	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
NOD1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	1:: missense: 1; 	.	.	.	.
SUZ12	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 
FCRL4	2	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
PRKCI	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	1:: nonsense: 1; 	.	.	.	.
HIST2H2AB	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
NOTCH1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	2:: missense: 1; nonsense: 1; 	.
TAF1	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
KAT6B	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
KAT6A	2	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.
ACTG1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.
FBXO11	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
FCHO2	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
CD36	2	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.
ATF7IP	2	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
INHBA	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
ADGRA2	2	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	1:: missense: 1; 	.	.	.	.	.	.
ERBB2	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
BRCA2	2	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
NF1	2	.	.	.	.	.	.	1:: nonsense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
BRD4	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
ADCY1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.
TGM7	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
DOCK8	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.
ZNF208	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
CDK1	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
PC	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.
TFRC	2	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
CCER1	2	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.
TSHZ2	2	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.
FRMD7	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
ASPSCR1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 
STK36	2	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
ZNF750	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: nonsense: 1; 	.	.
MYO1D	2	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
WHSC1L1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: nonsense: 1; 	.	.	.	.	.
CYP2B6	2	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
HSP90AB1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: nonsense: 1; 	.	.
HOXA13	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
BRAF	2	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
FOXD2	2	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
SPECC1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.
MYC	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
GDI1	2	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
NFKBIB	2	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PARK2	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
HMGXB3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.
BCL2A1	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
BIRC3	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
SLCO1B3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.
EXT2	2	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.
PRICKLE2	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
"NBPF8,NBPF9"	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: unknown: 1; 	.	1:: unknown: 1; 	.	.
NUTM2G	2	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
NIPBL	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.
NUTM2B	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
NRG1	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 1; frameshift indel: 1; 	.	.
TERT	2	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ZRSR2	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
SHOX2	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
VEZT	2	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
BCL3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 
NMT2	2	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
SSX5	2	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.
ZRANB3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.
NTRK1	2	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
NTRK3	2	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
NAV1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	1:: missense: 1; 	.	.	.
MYB	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.
RNASEL	2	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
RET	2	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
PMS1	2	2:: missense: 2; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
PMS2	2	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
TBX3	2	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
GSK3B	2	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
TLR4	2	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.
SLC19A1	2	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
PCM1	2	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
TRAF3	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.
CHD2	2	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.	1:: missense: 1; 	.	.	.	.	.	.
THBS2	2	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.
ACO1	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
ZNF530	2	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.
RHOA	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
PRDM16	2	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	2:: missense: 1; nonsense: 1; 	.	.	.	.
ETV5	2	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
ETV6	2	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
SMC3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	1:: missense: 1; 	.	.
ACE	2	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: nonsense: 1; 	.	.	.	.	.
ABL1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.
NCOR1	2	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	3:: missense: 3; 	.	.	.	.	.	.
CNTRL	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
KDM6A	2	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
ELL	2	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	1:: missense: 1; 	.
MTHFR	2	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
MBD6	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
SOS1	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
STAT5A	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
CIC	2	.	.	.	.	2:: missense: 1; frameshift indel: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.
NUMA1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	1:: nonsense: 1; 	.	.
BCL11A	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
BCL11B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.
ADAM10	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.
"RGPD1,RGPD2"	2	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
ARHGAP32	2	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	.
ACTL6A	2	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
TRAF2	2	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
TMPRSS2	2	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: nonsense: 1; 	.
DMKN	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: frameshift indel: 2; 	.	.	1:: frameshift indel: 1; 
RCC1	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
LRRK2	2	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.
SS18	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
CLP1	2	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
ZBTB32	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.
CCDC120	2	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
PTPRC	2	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
AMER1	2	.	2:: missense: 1; nonsense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
BAP1	2	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
SELP	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.
SMARCC2	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
HIST1H4A	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.
SMARCC1	1	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PPP3R2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.
FOXA1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
PGAP3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
IL6ST	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.
LASP1	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
